perfil;shopping;genero;ranking;loja;valor;pct_valor;cupons;clientes
Premium;Neumarkt Shopping;Masculino;9;Democrata;31663,96;6,34;53;46
Premium;Neumarkt Shopping;Masculino;10;Óticas Carol;28670,4;5,74;15;14
Premium;Norte Shopping;Feminino;1;Casas Bahia;149260,54;22,7;63;51
Premium;Norte Shopping;Feminino;2;Magazine Luiza;139902,36;21,27;53;50
Premium;Norte Shopping;Feminino;3;Havan;73566,34;11,19;197;147
Premium;Norte Shopping;Feminino;4;Samsung;70644,0;10,74;23;22
Premium;Norte Shopping;Feminino;5;Renner;54564,0;8,3;152;121
Premium;Norte Shopping;Feminino;6;Atacadão;46947,67;7,14;245;111
Premium;Norte Shopping;Feminino;7;Pittol;46464,28;7,07;123;99
Premium;Norte Shopping;Feminino;8;Riachuelo;33221,53;5,05;101;92
Premium;Norte Shopping;Feminino;9;Tim;22626,0;3,44;13;9
Premium;Norte Shopping;Feminino;10;Centauro;20402,61;3,1;48;43
Premium;Norte Shopping;Masculino;1;Casas Bahia;135638,09;25,83;57;48
Premium;Norte Shopping;Masculino;2;Magazine Luiza;124201,68;23,65;42;41
Premium;Norte Shopping;Masculino;3;Samsung;48746,020000000004;9,28;17;17
Premium;Norte Shopping;Masculino;4;Havan;44210,28;8,42;102;79
Premium;Norte Shopping;Masculino;5;Tim;37689,7;7,18;19;11
Premium;Norte Shopping;Masculino;6;Atacadão;35779,02;6,81;124;61
Premium;Norte Shopping;Masculino;7;Claro;29068,0;5,53;11;8
Premium;Norte Shopping;Masculino;8;Pittol;24045,03;4,58;64;49
Premium;Norte Shopping;Masculino;9;Centauro;23824,99;4,54;48;40
Premium;Norte Shopping;Masculino;10;CVC;21967,11;4,18;9;8
VIP;Balneário Shopping;Feminino;1;Zara;1629859,55;31,13;2271;1299
VIP;Balneário Shopping;Feminino;2;Vivara;1098176,54;20,98;194;152
VIP;Balneário Shopping;Feminino;3;Renner;636717,18;12,16;1518;906
VIP;Balneário Shopping;Feminino;4;Sephora;511798,66;9,78;832;590
VIP;Balneário Shopping;Feminino;5;iPlace Mobile;277171,03;5,29;74;56
