cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
137631,478.0,1,34,Balneário Shopping,Feminino,Moda,2,2,3,7,Potencial
137641,577.0,1,34,Balneário Shopping,Feminino,Moda,2,2,3,7,Potencial
137647,989.9,1,34,Garten Shopping,Feminino,Moda,2,2,4,8,Potencial
137654,4548.0,2,2,Balneário Shopping,Masculino,Beleza e Bem-estar,5,4,5,14,VIP
137683,1919.0,2,20,Balneário Shopping,Masculino,Moda,3,4,5,12,Premium
137737,279.0,1,31,Balneário Shopping,Masculino,Moda,2,2,2,6,Pontual
137741,289.9,1,34,Continente Shopping,Masculino,Calçados,2,2,2,6,Pontual
137750,498.0,1,34,Balneário Shopping,Feminino,Moda,2,2,3,7,Potencial
137777,326.33,1,18,Neumarkt Shopping,Feminino,Beleza e Bem-estar,4,2,2,8,Potencial
137793,2635.05,15,34,Balneário Shopping,Feminino,Gastronomia,2,5,5,12,Premium
137801,325.25,2,34,Balneário Shopping,Feminino,Moda,2,4,2,8,Potencial
137817,229.75,1,34,Balneário Shopping,Feminino,Moda,2,2,2,6,Pontual
137826,836.5,2,12,Balneário Shopping,Feminino,Moda,4,4,4,12,Premium
137832,146.99,1,34,Neumarkt Shopping,Feminino,Casa e Decoração,2,2,1,5,Pontual
137842,299.9,1,34,Continente Shopping,Feminino,Calçados,2,2,2,6,Pontual
137870,1049.5,1,32,Balneário Shopping,Feminino,Moda,2,2,4,8,Potencial
137886,6499.0,1,27,Balneário Shopping,Feminino,Telefonia,3,2,5,10,Premium
137908,1250.0,1,26,Balneário Shopping,Feminino,Joalheria,3,2,5,10,Premium
137914,234.8,1,34,Balneário Shopping,Feminino,Infantil,2,2,2,6,Pontual
137921,3561.83,17,5,Continente Shopping,Feminino,Livrarias,5,5,5,15,VIP
137949,699.0,1,34,Balneário Shopping,Feminino,Moda,2,2,4,8,Potencial
137979,69.0,1,31,Balneário Shopping,Feminino,Moda,2,2,1,5,Pontual
137994,59.0,1,4,Balneário Shopping,Feminino,Moda,5,2,1,8,Potencial
138018,299.9,1,34,Continente Shopping,Masculino,Calçados,2,2,2,6,Pontual
138032,1070.73,1,34,Continente Shopping,Feminino,Moda,2,2,4,8,Potencial
138040,678.91,2,34,Continente Shopping,Feminino,Moda,2,4,4,10,Premium
138041,4599.0,1,34,Garten Shopping,Feminino,Eletrodomésticos,2,2,5,9,Potencial
138060,599.8,1,11,Continente Shopping,Masculino,Calçados,4,2,3,9,Potencial
