cliente_id,valor_total,qtd_compras,genero,faixa_etaria,segmento_preferido,loja_preferida,ranking
4682,15844.64,222,Feminino,25-39 (Millennials),Gastronomia,McDonald's,122
164,15804.89,103,Feminino,55-69 (Boomers),Gastronomia,Mini Kalzone,123
3019,15793.56,110,Masculino,25-39 (Millennials),Gastronomia,Renner,124
187174,15761.87,19,Feminino,40-54 (Gen X),Gastronomia,JAH Açaí,125
85011,15759.550000000001,15,Masculino,25-39 (Millennials),Moda,Camicado,126
9512,15729.49,26,Feminino,40-54 (Gen X),Moda,Empório Du Homem,127
18647,15660.99,4,Masculino,40-54 (Gen X),Eletrônicos,Cacau Show,128
157326,15609.81,17,Feminino,40-54 (Gen X),Moda,Camicado,129
84626,15539.71,53,Feminino,55-69 (Boomers),Moda,McDonald's,130
75943,15443.87,93,Feminino,40-54 (Gen X),Moda,Renner,131
121165,15397.199999999999,38,Masculino,40-54 (Gen X),Moda,Renner,132
155649,15371.32,22,Feminino,40-54 (Gen X),Moda,Colcci,133
131151,15317.880000000001,18,Feminino,40-54 (Gen X),Moda,Colcci,134
195230,15302.51,103,Masculino,25-39 (Millennials),Gastronomia,Café Cultura,135
229493,15282.52,239,Feminino,25-39 (Millennials),Gastronomia,Mini Kalzone,136
379360,15279.8,2,Masculino,55-69 (Boomers),Joalheria,Renner,137
232775,15236.01,15,Feminino,25-39 (Millennials),Joalheria,Pandora,138
15600,15090.04,96,Feminino,40-54 (Gen X),Gastronomia,Renner,139
2643,15011.87,97,Feminino,40-54 (Gen X),Gastronomia,McDonald's,140
116084,15001.52,41,Feminino,40-54 (Gen X),Esportes,Centauro,141
160099,14966.18,20,Feminino,40-54 (Gen X),Calçados Femininos,Luz da Lua,142
159507,14966.14,92,Feminino,40-54 (Gen X),Moda,Renner,143
343126,14919.019999999999,32,Feminino,40-54 (Gen X),Moda,Riachuelo,144
370514,14883.82,11,Feminino,40-54 (Gen X),Gastronomia,Café Cultura,145
121643,14813.07,24,Feminino,40-54 (Gen X),Moda,z Naçoes Shopping Participações - Estacionamento,146
194596,14812.6,2,Feminino,40-54 (Gen X),Joalheria,Vivara,147
77789,14811.32,48,Masculino,40-54 (Gen X),Gastronomia,Békko,148
184596,14787.07,15,Feminino,40-54 (Gen X),Moda,Arezzo,149
227919,14718.26,64,Feminino,40-54 (Gen X),Moda,Farm,150
78058,14711.68,27,Masculino,40-54 (Gen X),Gastronomia,Mini Kalzone,151
167691,14641.880000000001,18,Feminino,40-54 (Gen X),Moda,Ri Happy,152
232439,14596.2,99,Feminino,25-39 (Millennials),Gastronomia,Mini Kalzone,153
274816,14536.08,15,Masculino,25-39 (Millennials),Moda,z Naçoes Shopping Participações - Estacionamento,154
224615,14409.15,12,Masculino,25-39 (Millennials),Moda,Békko,155
184417,14365.32,44,Feminino,40-54 (Gen X),Moda,C&A,156
132372,14323.44,28,Feminino,40-54 (Gen X),Moda,Fátima Criança,157
93477,14295.98,57,Feminino,40-54 (Gen X),Moda,Cobasi,158
136440,14286.2,115,Masculino,55-69 (Boomers),Gastronomia,Adcos,159
86653,14264.87,72,Masculino,55-69 (Boomers),Moda,Renner,160
387275,14227.58,5,Feminino,40-54 (Gen X),Calçados,Arezzo,161
12714,14137.41,121,Masculino,25-39 (Millennials),Gastronomia,Café Cultura,162
69465,14046.8,104,Feminino,40-54 (Gen X),Gastronomia,Café Cultura,163
147709,14017.6,61,Feminino,40-54 (Gen X),Moda,Café Cultura,164
302032,14000.0,2,Feminino,55-69 (Boomers),Moda,Empório Du Homem,165
258120,13987.11,3,Feminino,40-54 (Gen X),Beleza e Bem-estar,Cassol Centerlar,166
240455,13985.33,1,Masculino,40-54 (Gen X),Casa e Decoração,Cassol Centerlar,167
125865,13951.06,35,Feminino,40-54 (Gen X),Pets,Cobasi,168
134803,13925.27,90,Feminino,25-39 (Millennials),Gastronomia,Mini Kalzone,169
15653,13899.88,101,Feminino,25-39 (Millennials),Gastronomia,Mini Kalzone,170
225630,13870.960000000001,22,Feminino,25-39 (Millennials),Moda,Luz da Lua,171
124897,13852.82,62,Masculino,25-39 (Millennials),Gastronomia,McDonald's,172
224207,13810.7,6,Feminino,40-54 (Gen X),Eletrônicos,Samsung,173
232200,13792.74,29,Feminino,40-54 (Gen X),Moda,Renner,174
138197,13790.62,37,Feminino,40-54 (Gen X),Moda,Cobasi,175
230319,13750.23,64,Masculino,16-24 (Gen Z),Moda,Lupo,176
142078,13664.49,66,Feminino,25-39 (Millennials),Beleza e Bem-estar,Estacionamento - Nações Shopping,177
303842,13658.06,25,Masculino,55-69 (Boomers),Moda,Las Leñas Parrilla Uruguaya,178
366237,13645.0,3,Masculino,40-54 (Gen X),Eletrônicos,Samsung,179
122348,13605.16,36,Feminino,40-54 (Gen X),Gastronomia,McDonald's,180
224470,13581.97,4,Masculino,25-39 (Millennials),Joalheria,Vivara,181
130313,13574.65,25,Feminino,40-54 (Gen X),Moda,Café Cultura,182
103644,13532.39,216,Masculino,25-39 (Millennials),Gastronomia,Mini Kalzone,183
427434,13495.3,4,Feminino,25-39 (Millennials),Hub da Saúde,Ortobom ,184
160911,13465.91,58,Feminino,40-54 (Gen X),Moda,Renner,185
169787,13454.17,2,Masculino,40-54 (Gen X),Casa e Decoração,Cassol Centerlar,186
154526,13399.09,46,Masculino,40-54 (Gen X),Gastronomia,Livraria Catarinense ,187
262662,13378.63,6,Feminino,16-24 (Gen Z),Joalheria,Acuo,188
157989,13284.23,104,Feminino,25-39 (Millennials),Gastronomia,Café Cultura,189
188140,13282.28,104,Masculino,40-54 (Gen X),Gastronomia,Mini Kalzone,190
141275,13251.29,16,Masculino,25-39 (Millennials),Moda,Békko,191
249460,13217.06,8,Masculino,25-39 (Millennials),Moda,Avatim,192
266927,13200.0,2,Masculino,25-39 (Millennials),Joalheria,Vivara,193
242883,13197.75,9,Feminino,40-54 (Gen X),Moda,Livraria Catarinense ,194
241367,13121.85,36,Feminino,40-54 (Gen X),Moda,Camarão Express,195
129278,13084.810000000001,43,Feminino,40-54 (Gen X),Moda,Beagle,196
229450,13082.0,1,Masculino,40-54 (Gen X),Eletrônicos,Samsung,197
159365,13078.75,24,Masculino,40-54 (Gen X),Gastronomia,Las Leñas Parrilla Uruguaya,198
299362,13077.9,33,Feminino,25-39 (Millennials),Moda,FATIMA ESPORTES,199
127050,13014.04,19,Feminino,40-54 (Gen X),Moda,Camicado,200
224983,13000.0,3,Masculino,25-39 (Millennials),Moda,Empório Du Homem,201
403772,12989.81,13,Masculino,40-54 (Gen X),Beleza e Bem-estar,Essence Parfums,202
201991,12979.13,12,Feminino,40-54 (Gen X),Beleza e Bem-estar,Luz da Lua,203
33930,12949.05,4,Masculino,25-39 (Millennials),Moda,Calvin Klein e Tommy Hilfiger,204
204508,12891.19,12,Feminino,25-39 (Millennials),Moda,Empório Du Homem,205
6417,12847.67,7,Masculino,55-69 (Boomers),Moda,Empório Du Homem,206
250897,12818.79,105,Feminino,40-54 (Gen X),Gastronomia,Santo Boteco,207
230891,12752.16,42,Masculino,25-39 (Millennials),Moda,Renner,208
145187,12717.9,53,Feminino,40-54 (Gen X),Gastronomia,Cassol Centerlar,209
186071,12665.03,44,Masculino,40-54 (Gen X),Gastronomia,Santo Boteco,210
204468,12640.46,56,Feminino,40-54 (Gen X),Moda,Ri Happy,211
231458,12626.57,9,Masculino,40-54 (Gen X),Infantil,FATIMA ESPORTES,212
77556,12624.15,39,Feminino,25-39 (Millennials),Moda,Renner,213
10910,12623.55,43,Feminino,40-54 (Gen X),Gastronomia,Renner,214
51063,12610.380000000001,40,Feminino,25-39 (Millennials),Moda,Renner,215
189059,12608.99,13,Masculino,55-69 (Boomers),Beleza e Bem-estar,O Boticário,216
234258,12573.19,68,Feminino,40-54 (Gen X),Gastronomia,Mini Kalzone,217
103316,12526.1,17,Masculino,40-54 (Gen X),Gastronomia,Camarão Express,218
90784,12506.28,18,Feminino,40-54 (Gen X),Calçados,Arezzo,219
