cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
246364,3697.7,5,3,Balneário Shopping,Feminino,Moda,4,5,5,14,VIP
246365,373.7,1,17,Continente Shopping,Feminino,Beleza e Bem-estar,1,1,2,4,Pontual
246366,2179.97,1,17,Balneário Shopping,Feminino,Esportes,1,1,5,7,Potencial
246368,569.56,2,17,Norte Shopping,Feminino,Beleza e Bem-estar,1,3,3,7,Potencial
246369,1708.6,2,17,Continente Shopping,Masculino,Eletrônicos,1,3,5,9,Potencial
246370,2528.95,2,17,Continente Shopping,Feminino,Gastronomia,1,3,5,9,Potencial
246371,639.0,1,17,Neumarkt Shopping,Feminino,Beleza e Bem-estar,1,1,3,5,Pontual
246372,349.99,1,17,Norte Shopping,Masculino,Calçados,1,1,2,4,Pontual
246374,1399.93,1,16,Nações Shopping,Masculino,Moda,1,1,4,6,Pontual
246376,1952.45,3,14,Balneário Shopping,Feminino,Moda Feminina,2,4,5,11,Premium
246377,819.91,1,16,Balneário Shopping,Feminino,Moda,1,1,3,5,Pontual
246378,369.89,1,17,Garten Shopping,Masculino,Moda,1,1,2,4,Pontual
246379,909.5,1,9,Continente Shopping,Masculino,Moda,3,1,4,8,Potencial
246380,10100.85,1,16,Balneário Shopping,Masculino,Eletrônicos,1,1,5,7,Potencial
246381,678.33,9,11,Continente Shopping,Feminino,Livrarias,2,5,3,10,Premium
246382,499.98,1,16,Balneário Shopping,Feminino,Esportes,1,1,2,4,Pontual
246383,650.0,1,16,Balneário Shopping,Feminino,Moda,1,1,3,5,Pontual
246384,1052.11,8,6,Balneário Shopping,Masculino,Moda,4,5,4,13,VIP
246385,819.83,2,16,Balneário Shopping,Masculino,Moda,1,3,3,7,Potencial
246386,48.88,1,16,Nações Shopping,Feminino,Beleza e Bem-estar,1,1,1,3,Pontual
246389,1398.0,1,16,Neumarkt Shopping,Feminino,Moda,1,1,4,6,Pontual
246391,1539.0,1,16,Garten Shopping,Masculino,Moda,1,1,5,7,Potencial
246392,1164.8600000000001,3,4,Neumarkt Shopping,Masculino,Beleza e Bem-estar,4,4,4,12,Premium
246393,1469.0,1,16,Garten Shopping,Feminino,Infantil,1,1,4,6,Pontual
246394,5809.88,8,3,Norte Shopping,Feminino,Eletrodomésticos,4,5,5,14,VIP
246396,406.83000000000004,3,16,Norte Shopping,Feminino,Calçados,1,4,2,7,Potencial
246397,2046.21,7,6,Continente Shopping,Masculino,Moda,4,5,5,14,VIP
246398,994.9,1,16,Garten Shopping,Feminino,Moda,1,1,4,6,Pontual
246399,219.79000000000002,2,16,Neumarkt Shopping,Feminino,Casa e Decoração,1,3,1,5,Pontual
246401,317.89,1,16,Garten Shopping,Masculino,Moda,1,1,2,4,Pontual
246402,23.0,1,15,Continente Shopping,Feminino,Serviços,2,1,1,4,Pontual
246403,1159.8,1,16,Nações Shopping,Feminino,Moda,1,1,4,6,Pontual
246405,398.0,1,16,Continente Shopping,Masculino,Presentes e Acessórios,1,1,2,4,Pontual
246407,340.64,2,16,Continente Shopping,Feminino,Moda,1,3,2,6,Pontual
246408,691.93,1,16,Balneário Shopping,Masculino,Moda,1,1,3,5,Pontual
246410,2589.09,1,16,Nações Shopping,Feminino,Beleza e Bem-estar,1,1,5,7,Potencial
246411,399.9,1,16,Balneário Shopping,Feminino,Calçados,1,1,2,4,Pontual
246412,593.83,4,10,Balneário Shopping,Feminino,Moda,3,4,3,10,Premium
246413,6990.0,1,12,Balneário Shopping,Masculino,Joalheria,2,1,5,8,Potencial
246415,369.97,1,16,Norte Shopping,Feminino,Calçados,1,1,2,4,Pontual
246416,1595.15,6,3,Garten Shopping,Feminino,Moda,4,5,5,14,VIP
246417,225.97,2,16,Continente Shopping,Feminino,Esportes,1,3,1,5,Pontual
